idx,scenario,outcome,num_steps
0,circular,collision,29
1,circular,collision,4
2,circular,collision,2
3,circular,success,41
4,circular,collision,42
5,circular,collision,69
6,circular,success,30
7,circular,success,40
8,circular,success,39
9,circular,success,50
10,circular,collision,9
11,circular,success,36
12,circular,success,21
13,circular,collision,11
14,circular,success,46
15,circular,collision,5
16,circular,collision,4
17,circular,collision,8
18,circular,collision,8
19,circular,collision,6
20,circular,collision,8
21,circular,success,24
22,circular,collision,23
23,circular,success,13
24,circular,collision,4
25,circular,collision,9
26,circular,success,47
27,circular,success,18
28,circular,collision,7
29,circular,collision,5
30,circular,success,23
31,circular,collision,2
32,circular,collision,14
33,circular,success,16
34,circular,success,31
35,circular,success,22
36,circular,collision,23
37,circular,success,43
38,circular,success,23
39,circular,collision,3
40,circular,success,19
41,circular,collision,41
42,circular,collision,25
43,circular,collision,23
44,circular,success,52
45,circular,collision,7
46,circular,success,34
47,circular,collision,10
48,circular,collision,20
49,circular,success,24
50,circular,success,21
51,circular,success,26
52,circular,success,19
53,circular,collision,9
54,circular,collision,23
55,circular,collision,28
56,circular,collision,12
57,circular,collision,28
58,circular,success,29
59,circular,success,31
60,circular,success,26
61,circular,success,25
62,circular,success,23
63,circular,success,20
64,circular,success,23
65,circular,success,34
66,circular,success,24
67,circular,collision,9
68,circular,success,17
69,circular,collision,4
70,circular,collision,8
71,circular,success,24
72,circular,success,51
73,circular,collision,5
74,circular,collision,9
75,circular,collision,11
76,circular,collision,13
77,circular,success,21
78,circular,success,27
79,circular,collision,9
80,circular,collision,10
81,circular,success,16
82,circular,success,29
83,circular,collision,27
84,circular,collision,30
85,circular,collision,28
86,circular,success,6
87,circular,collision,9
88,circular,success,20
89,circular,success,22
90,circular,collision,7
91,circular,collision,6
92,circular,collision,24
93,circular,success,27
94,circular,success,25
95,circular,success,28
96,circular,success,39
97,circular,collision,31
98,circular,success,28
99,circular,collision,8
100,random,success,27
101,random,collision,1
102,random,collision,27
103,random,collision,20
104,random,success,65
105,random,success,34
106,random,collision,35
107,random,collision,39
108,random,collision,17
109,random,collision,27
110,random,collision,4
111,random,collision,23
112,random,collision,15
113,random,success,51
114,random,success,28
115,random,collision,4
116,random,collision,38
117,random,collision,14
118,random,success,25
119,random,collision,2
120,random,collision,34
121,random,collision,23
122,random,collision,45
123,random,collision,7
124,random,collision,24
125,random,collision,4
126,random,collision,15
127,random,success,27
128,random,collision,2
129,random,collision,13
130,random,collision,27
131,random,success,38
132,random,collision,29
133,random,success,25
134,random,success,42
135,random,collision,19
136,random,collision,17
137,random,success,53
138,random,collision,24
139,random,collision,33
140,random,success,23
141,random,success,57
142,random,collision,16
143,random,success,49
144,random,collision,17
145,random,collision,30
146,random,success,149
147,random,collision,38
148,random,success,57
149,random,success,24
150,random,collision,22
151,random,collision,8
152,random,collision,20
153,random,success,75
154,random,success,34
155,random,collision,17
156,random,collision,28
157,random,collision,110
158,random,collision,20
159,random,success,40
160,random,collision,32
161,random,collision,42
162,random,collision,3
163,random,collision,23
164,random,success,61
165,random,collision,52
166,random,collision,5
167,random,collision,34
168,random,collision,19
169,random,collision,24
170,random,collision,25
171,random,collision,46
172,random,collision,12
173,random,success,40
174,random,collision,64
175,random,collision,2
176,random,success,44
177,random,collision,1
178,random,success,42
179,random,collision,18
180,random,success,37
181,random,collision,4
182,random,success,23
183,random,collision,24
184,random,collision,10
185,random,collision,4
186,random,collision,17
187,random,success,49
188,random,collision,39
189,random,collision,16
190,random,success,35
191,random,success,42
192,random,success,47
193,random,collision,15
194,random,collision,19
195,random,success,37
196,random,collision,10
197,random,success,48
198,random,collision,29
199,random,success,29
200,parallel,collision,40
201,parallel,success,33
202,parallel,collision,6
