idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,success,31
2,circular,collision,2
3,circular,collision,11
4,circular,success,50
5,circular,collision,4
6,circular,success,39
7,circular,collision,36
8,circular,collision,23
9,circular,success,48
10,circular,collision,8
11,circular,success,33
12,circular,success,34
13,circular,collision,9
14,circular,collision,5
15,circular,collision,24
16,circular,collision,6
17,circular,collision,7
18,circular,collision,9
19,circular,collision,6
20,circular,collision,9
21,circular,collision,8
22,circular,collision,21
23,circular,success,15
24,circular,collision,6
25,circular,collision,9
26,circular,collision,43
27,circular,collision,7
28,circular,collision,8
29,circular,collision,6
30,circular,success,23
31,circular,collision,3
32,circular,collision,9
33,circular,collision,7
34,circular,collision,23
35,circular,collision,10
36,circular,success,43
37,circular,collision,8
38,circular,success,24
39,circular,collision,4
40,circular,success,24
41,circular,collision,8
42,circular,collision,9
43,circular,success,82
44,circular,collision,29
45,circular,collision,24
46,circular,success,35
47,circular,collision,11
48,circular,collision,6
49,circular,collision,5
50,circular,collision,8
51,circular,collision,5
52,circular,success,19
53,circular,success,25
54,circular,collision,33
55,circular,success,40
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,success,36
60,circular,success,25
61,circular,collision,10
62,circular,collision,7
63,circular,collision,7
64,circular,collision,7
65,circular,collision,22
66,circular,collision,9
67,circular,collision,10
68,circular,success,17
69,circular,collision,4
70,circular,collision,8
71,circular,collision,8
72,circular,collision,8
73,circular,collision,5
74,circular,collision,8
75,circular,success,54
76,circular,collision,12
77,circular,success,27
78,circular,success,30
79,circular,collision,8
80,circular,collision,36
81,circular,success,18
82,circular,success,34
83,circular,collision,10
84,circular,collision,11
85,circular,collision,6
86,circular,success,13
87,circular,collision,10
88,circular,collision,11
89,circular,collision,10
90,circular,collision,7
91,circular,collision,8
92,circular,collision,27
93,circular,collision,9
94,circular,collision,6
95,circular,success,27
96,circular,success,58
97,circular,collision,3
98,circular,collision,11
99,circular,collision,8
100,random,success,30
101,random,collision,1
102,random,collision,12
103,random,success,36
104,random,collision,57
105,random,success,37
106,random,collision,42
107,random,collision,12
108,random,collision,17
109,random,collision,25
110,random,collision,31
111,random,collision,6
112,random,collision,12
113,random,success,55
114,random,success,36
115,random,collision,5
116,random,collision,34
117,random,collision,10
118,random,success,33
119,random,collision,3
120,random,success,49
121,random,collision,17
122,random,success,55
123,random,collision,28
124,random,collision,27
125,random,collision,4
126,random,collision,13
127,random,success,28
128,random,collision,2
129,random,collision,13
130,random,collision,31
131,random,collision,22
132,random,collision,34
133,random,success,28
134,random,collision,19
135,random,collision,14
136,random,collision,19
137,random,collision,29
138,random,collision,43
139,random,collision,35
140,random,success,22
141,random,collision,21
142,random,collision,29
143,random,collision,29
144,random,success,55
145,random,collision,62
146,random,collision,29
147,random,collision,38
148,random,collision,57
149,random,success,23
150,random,collision,20
151,random,collision,3
152,random,success,41
153,random,collision,8
154,random,success,38
155,random,collision,14
156,random,collision,8
157,random,collision,50
158,random,success,54
159,random,collision,38
160,random,collision,39
161,random,success,58
162,random,collision,3
163,random,collision,41
164,random,collision,15
165,random,collision,13
166,random,collision,6
167,random,collision,26
168,random,collision,14
169,random,collision,15
170,random,collision,28
171,random,collision,64
172,random,success,58
173,random,collision,18
174,random,success,40
175,random,collision,2
176,random,collision,46
177,random,collision,1
178,random,success,61
179,random,collision,16
180,random,collision,25
181,random,collision,34
182,random,success,23
183,random,collision,39
184,random,success,40
185,random,collision,3
186,random,collision,31
187,random,success,49
188,random,success,45
189,random,collision,3
190,random,success,38
191,random,success,46
192,random,collision,26
193,random,collision,7
194,random,collision,9
195,random,success,40
196,random,collision,10
197,random,collision,54
198,random,collision,31
199,random,collision,20
200,parallel,collision,12
201,parallel,collision,9
202,parallel,collision,7
203,parallel,collision,11
204,parallel,success,36
205,parallel,success,45
206,parallel,collision,26
207,parallel,collision,6
208,parallel,success,29
209,parallel,collision,27
210,parallel,collision,12
