idx,scenario,outcome,num_steps
0,circular,collision,10
1,circular,success,31
2,circular,success,30
3,circular,collision,11
4,circular,collision,45
5,circular,collision,5
6,circular,success,36
7,circular,collision,22
8,circular,collision,24
9,circular,collision,29
10,circular,collision,9
11,circular,success,34
12,circular,success,45
13,circular,collision,8
14,circular,collision,6
15,circular,collision,34
16,circular,collision,23
17,circular,collision,7
18,circular,collision,9
19,circular,collision,7
20,circular,success,25
21,circular,success,25
22,circular,collision,45
23,circular,success,20
24,circular,collision,6
25,circular,collision,30
26,circular,collision,35
27,circular,collision,7
28,circular,collision,7
29,circular,collision,7
30,circular,success,22
31,circular,collision,3
32,circular,collision,10
33,circular,success,17
34,circular,success,38
35,circular,collision,9
36,circular,success,31
37,circular,collision,8
38,circular,collision,6
39,circular,collision,4
40,circular,success,25
41,circular,collision,22
42,circular,collision,9
43,circular,success,45
44,circular,collision,19
45,circular,success,36
46,circular,success,41
47,circular,collision,28
48,circular,collision,6
49,circular,collision,5
50,circular,collision,8
51,circular,collision,5
52,circular,collision,5
53,circular,success,25
54,circular,success,33
55,circular,success,40
56,circular,collision,12
57,circular,collision,4
58,circular,collision,5
59,circular,collision,5
60,circular,success,26
61,circular,collision,10
62,circular,success,29
63,circular,collision,7
64,circular,collision,7
65,circular,collision,23
66,circular,success,28
67,circular,collision,10
68,circular,success,18
69,circular,collision,4
70,circular,collision,9
71,circular,collision,9
72,circular,collision,6
73,circular,collision,3
74,circular,collision,9
75,circular,collision,6
76,circular,collision,9
77,circular,success,25
78,circular,success,29
79,circular,collision,9
80,circular,collision,14
81,circular,success,17
82,circular,collision,5
83,circular,collision,10
84,circular,collision,10
85,circular,collision,8
86,circular,success,12
87,circular,collision,12
88,circular,collision,9
89,circular,collision,11
90,circular,collision,6
91,circular,collision,10
92,circular,collision,31
93,circular,collision,10
94,circular,collision,7
95,circular,success,30
96,circular,success,51
97,circular,collision,3
98,circular,collision,11
99,circular,collision,8
100,random,success,41
101,random,collision,1
102,random,collision,15
103,random,success,37
104,random,success,85
105,random,success,50
106,random,collision,39
107,random,collision,12
108,random,collision,20
109,random,collision,29
110,random,collision,5
111,random,collision,5
112,random,collision,16
113,random,success,55
114,random,success,36
115,random,collision,5
116,random,collision,27
117,random,collision,15
118,random,success,34
119,random,collision,3
120,random,collision,37
121,random,collision,24
122,random,collision,55
123,random,collision,53
124,random,collision,21
125,random,collision,4
126,random,collision,31
127,random,success,28
128,random,collision,2
129,random,collision,13
130,random,collision,32
131,random,collision,37
132,random,success,49
133,random,success,30
134,random,collision,38
135,random,collision,21
136,random,collision,37
137,random,collision,39
138,random,collision,38
139,random,success,37
140,random,success,29
141,random,collision,46
142,random,collision,12
143,random,success,44
144,random,collision,32
145,random,collision,37
146,random,collision,23
147,random,collision,35
148,random,collision,47
149,random,success,23
150,random,collision,33
151,random,collision,29
152,random,collision,28
153,random,collision,13
154,random,success,40
155,random,collision,13
156,random,collision,6
157,random,collision,51
158,random,success,48
159,random,collision,51
160,random,success,76
161,random,collision,42
162,random,collision,3
163,random,success,64
164,random,collision,16
165,random,collision,20
166,random,collision,6
167,random,collision,22
168,random,collision,15
169,random,collision,18
170,random,collision,35
171,random,collision,43
172,random,collision,21
173,random,collision,16
174,random,collision,31
175,random,collision,2
176,random,success,50
177,random,collision,1
178,random,collision,30
179,random,collision,15
180,random,collision,29
181,random,collision,41
182,random,success,22
183,random,collision,40
184,random,collision,5
185,random,collision,3
186,random,collision,28
187,random,collision,19
188,random,success,47
189,random,collision,2
190,random,success,39
191,random,success,49
192,random,collision,35
193,random,collision,7
