idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,collision,6
2,circular,collision,3
3,circular,collision,11
4,circular,collision,26
5,circular,collision,4
6,circular,collision,27
7,circular,success,60
8,circular,success,53
9,circular,collision,30
10,circular,collision,9
11,circular,success,41
12,circular,collision,33
13,circular,collision,8
14,circular,collision,4
15,circular,collision,29
16,circular,collision,29
17,circular,collision,14
18,circular,collision,45
19,circular,collision,6
20,circular,success,45
21,circular,success,49
22,circular,collision,29
23,circular,success,23
24,circular,collision,6
25,circular,collision,37
26,circular,collision,9
27,circular,collision,7
28,circular,collision,9
29,circular,collision,6
30,circular,success,54
31,circular,collision,3
32,circular,collision,8
33,circular,success,30
34,circular,success,48
35,circular,collision,8
36,circular,collision,26
37,circular,collision,8
38,circular,collision,6
39,circular,collision,3
40,circular,success,47
41,circular,collision,25
42,circular,collision,9
43,circular,collision,28
44,circular,collision,42
45,circular,collision,32
46,circular,collision,9
47,circular,collision,10
48,circular,success,68
49,circular,collision,6
50,circular,collision,9
51,circular,success,31
52,circular,collision,5
53,circular,success,34
54,circular,collision,38
55,circular,success,77
56,circular,success,96
57,circular,success,91
58,circular,collision,6
59,circular,success,42
60,circular,success,45
61,circular,collision,8
62,circular,collision,8
63,circular,success,51
64,circular,collision,7
65,circular,collision,29
66,circular,collision,20
67,circular,collision,10
68,circular,success,30
69,circular,collision,3
70,circular,collision,11
71,circular,collision,10
72,circular,collision,35
73,circular,collision,5
74,circular,collision,8
75,circular,collision,15
76,circular,collision,38
77,circular,success,54
78,circular,collision,8
79,circular,collision,9
80,circular,collision,16
81,circular,success,46
82,circular,collision,5
83,circular,collision,9
84,circular,collision,20
85,circular,collision,8
86,circular,success,28
87,circular,collision,10
88,circular,collision,10
89,circular,collision,9
90,circular,collision,8
91,circular,collision,29
92,circular,collision,27
93,circular,collision,10
94,circular,collision,6
95,circular,success,44
96,circular,collision,33
97,circular,collision,3
98,circular,collision,8
99,circular,collision,8
100,random,success,45
101,random,collision,1
102,random,collision,16
103,random,collision,11
104,random,collision,45
105,random,collision,33
106,random,collision,44
107,random,collision,11
108,random,success,86
109,random,collision,23
110,random,collision,37
111,random,collision,5
112,random,collision,15
113,random,success,84
114,random,success,74
115,random,collision,4
116,random,collision,45
117,random,collision,17
118,random,success,86
119,random,collision,3
120,random,collision,34
121,random,collision,20
122,random,collision,32
123,random,collision,42
124,random,collision,21
125,random,collision,4
126,random,collision,13
127,random,success,65
128,random,collision,2
129,random,collision,15
130,random,collision,36
131,random,collision,21
132,random,success,55
133,random,success,49
134,random,collision,24
135,random,success,65
136,random,collision,48
137,random,collision,36
138,random,collision,53
139,random,success,46
140,random,collision,48
141,random,collision,23
142,random,collision,12
143,random,success,95
144,random,collision,30
145,random,collision,44
146,random,collision,25
147,random,collision,38
148,random,success,106
149,random,success,41
150,random,collision,23
151,random,collision,2
152,random,collision,18
153,random,collision,7
154,random,collision,24
155,random,collision,14
156,random,collision,7
157,random,collision,62
158,random,success,148
159,random,success,63
160,random,success,99
161,random,collision,39
162,random,collision,3
163,random,collision,42
164,random,collision,15
165,random,collision,18
166,random,collision,6
167,random,collision,36
168,random,collision,20
169,random,success,101
170,random,collision,33
171,random,collision,44
172,random,collision,17
173,random,collision,15
174,random,collision,21
175,random,collision,3
176,random,success,98
177,random,collision,2
178,random,success,108
179,random,collision,62
180,random,collision,17
181,random,collision,29
182,random,success,35
183,random,collision,25
184,random,collision,7
185,random,collision,4
186,random,success,92
187,random,collision,23
188,random,collision,51
189,random,collision,2
190,random,success,87
191,random,success,92
192,random,collision,30
193,random,collision,7
194,random,collision,7
195,random,success,59
196,random,collision,16
197,random,success,73
198,random,collision,56
199,random,collision,28
200,parallel,collision,31
201,parallel,success,27
202,parallel,collision,7
203,parallel,collision,10
204,parallel,success,39
205,parallel,success,56
206,parallel,collision,26
207,parallel,collision,10
208,parallel,success,64
209,parallel,collision,41
210,parallel,collision,63
211,parallel,collision,45
212,parallel,collision,7
213,parallel,collision,36
214,parallel,success,79
215,parallel,success,64
216,parallel,collision,47
217,parallel,collision,9
218,parallel,collision,27
219,parallel,success,97
220,parallel,collision,47
221,parallel,success,33
222,parallel,collision,33
223,parallel,collision,43
224,parallel,collision,68
225,parallel,collision,10
226,parallel,collision,6
227,parallel,collision,23
228,parallel,collision,7
229,parallel,success,34
230,parallel,collision,7
231,parallel,collision,32
232,parallel,success,58
233,parallel,collision,11
234,parallel,success,32
235,parallel,collision,23
236,parallel,collision,7
237,parallel,collision,27
238,parallel,success,41
239,parallel,success,81
240,parallel,collision,6
241,parallel,collision,15
242,parallel,collision,25
243,parallel,collision,54
244,parallel,success,26
245,parallel,collision,6
246,parallel,success,36
247,parallel,success,49
248,parallel,collision,9
249,parallel,success,73
250,parallel,collision,13
251,parallel,success,76
252,parallel,collision,9
253,parallel,collision,13
254,parallel,collision,50
255,parallel,collision,42
256,parallel,collision,25
257,parallel,success,37
258,parallel,success,33
259,parallel,collision,8
260,parallel,collision,26
261,parallel,collision,10
262,parallel,collision,9
263,parallel,collision,10
264,parallel,collision,53
265,parallel,collision,46
266,parallel,collision,38
267,parallel,collision,6
268,parallel,collision,10
269,parallel,collision,11
270,parallel,collision,29
271,parallel,collision,13
272,parallel,collision,27
273,parallel,success,82
274,parallel,collision,8
275,parallel,collision,7
276,parallel,collision,83
277,parallel,collision,28
278,parallel,collision,22
279,parallel,collision,27
280,parallel,collision,50
281,parallel,collision,40
282,parallel,collision,32
283,parallel,collision,33
284,parallel,collision,18
285,parallel,collision,47
286,parallel,success,37
287,parallel,success,50
288,parallel,collision,11
289,parallel,collision,7
290,parallel,collision,8
291,parallel,success,42
292,parallel,collision,32
293,parallel,collision,8
294,parallel,collision,34
295,parallel,collision,43
296,parallel,collision,6
297,parallel,collision,9
298,parallel,collision,11
299,parallel,collision,10
