idx,scenario,outcome,num_steps
0,circular,collision,20
1,circular,collision,6
2,circular,collision,3
3,circular,collision,14
4,circular,collision,18
5,circular,collision,29
6,circular,success,32
7,circular,success,41
8,circular,success,46
9,circular,collision,26
10,circular,collision,8
11,circular,success,37
12,circular,success,61
13,circular,collision,8
14,circular,success,34
15,circular,collision,5
16,circular,collision,4
17,circular,collision,7
18,circular,collision,10
19,circular,collision,5
20,circular,collision,7
21,circular,collision,7
22,circular,collision,33
23,circular,success,16
24,circular,collision,5
25,circular,collision,9
26,circular,success,39
27,circular,success,33
28,circular,success,27
29,circular,collision,7
30,circular,success,25
31,circular,collision,17
32,circular,collision,34
33,circular,success,25
34,circular,success,34
35,circular,success,24
36,circular,success,32
37,circular,success,30
38,circular,success,24
39,circular,collision,3
40,circular,success,21
41,circular,collision,34
42,circular,collision,7
43,circular,success,32
44,circular,collision,29
45,circular,collision,9
46,circular,success,42
47,circular,collision,8
48,circular,success,31
49,circular,collision,5
50,circular,success,20
51,circular,collision,27
52,circular,collision,4
53,circular,success,29
54,circular,success,28
55,circular,collision,31
56,circular,collision,10
57,circular,collision,3
58,circular,success,41
59,circular,success,31
60,circular,collision,30
61,circular,success,25
62,circular,success,30
63,circular,success,22
64,circular,success,22
65,circular,success,32
66,circular,success,25
67,circular,collision,32
68,circular,success,24
69,circular,collision,4
70,circular,collision,8
71,circular,collision,10
72,circular,success,44
73,circular,collision,4
74,circular,collision,9
75,circular,success,70
76,circular,collision,9
77,circular,success,23
78,circular,collision,21
79,circular,collision,9
80,circular,collision,11
81,circular,success,18
82,circular,success,36
83,circular,collision,8
84,circular,collision,23
85,circular,collision,56
86,circular,success,10
87,circular,collision,9
88,circular,success,21
89,circular,success,24
90,circular,collision,6
91,circular,collision,6
92,circular,collision,5
93,circular,collision,9
94,circular,collision,6
95,circular,success,24
96,circular,success,44
97,circular,collision,34
98,circular,success,31
99,circular,success,28
100,random,success,41
101,random,collision,1
102,random,collision,19
103,random,collision,10
104,random,collision,45
105,random,success,40
106,random,success,92
107,random,collision,33
108,random,success,42
109,random,collision,36
110,random,collision,4
111,random,collision,26
112,random,collision,37
113,random,success,52
114,random,success,29
115,random,collision,5
116,random,collision,30
117,random,success,83
118,random,success,26
119,random,collision,2
120,random,success,50
121,random,collision,45
122,random,success,61
123,random,collision,19
124,random,collision,33
125,random,collision,5
126,random,collision,27
127,random,success,29
128,random,collision,2
129,random,collision,12
130,random,collision,27
131,random,collision,26
132,random,success,43
133,random,success,27
134,random,collision,43
135,random,success,53
136,random,collision,42
137,random,success,52
138,random,collision,44
139,random,success,45
140,random,collision,23
141,random,collision,25
142,random,collision,41
143,random,success,35
144,random,success,39
145,random,collision,23
146,random,collision,18
147,random,collision,34
148,random,collision,40
149,random,success,26
150,random,collision,34
151,random,collision,4
152,random,collision,21
153,random,collision,9
154,random,success,34
155,random,collision,12
156,random,collision,4
157,random,collision,46
158,random,collision,26
159,random,collision,45
160,random,collision,26
161,random,collision,39
162,random,collision,3
163,random,collision,38
164,random,collision,16
165,random,collision,36
166,random,collision,5
167,random,collision,30
168,random,collision,65
169,random,collision,38
170,random,collision,33
171,random,collision,35
172,random,collision,31
173,random,success,48
174,random,collision,28
175,random,collision,45
176,random,success,46
177,random,collision,1
178,random,success,46
179,random,collision,19
180,random,collision,10
181,random,collision,5
182,random,success,23
183,random,collision,18
184,random,collision,48
185,random,collision,30
186,random,collision,30
187,random,collision,20
188,random,success,46
189,random,collision,6
190,random,success,41
191,random,success,51
192,random,collision,12
193,random,collision,15
194,random,success,58
195,random,success,46
196,random,collision,10
197,random,success,53
198,random,collision,25
199,random,collision,23
200,parallel,collision,26
201,parallel,success,28
202,parallel,collision,5
203,parallel,success,46
204,parallel,success,54
205,parallel,success,46
206,parallel,collision,24
207,parallel,collision,6
208,parallel,success,29
209,parallel,collision,27
210,parallel,collision,26
211,parallel,success,40
212,parallel,success,42
213,parallel,success,40
214,parallel,collision,38
215,parallel,collision,30
216,parallel,collision,29
217,parallel,collision,7
218,parallel,collision,29
219,parallel,success,40
220,parallel,success,39
221,parallel,collision,29
222,parallel,collision,29
223,parallel,success,44
224,parallel,collision,20
225,parallel,collision,27
226,parallel,collision,39
227,parallel,collision,28
228,parallel,collision,28
229,parallel,success,33
230,parallel,collision,9
231,parallel,collision,26
232,parallel,success,34
233,parallel,success,27
234,parallel,success,27
235,parallel,collision,23
236,parallel,collision,9
237,parallel,collision,34
238,parallel,success,35
239,parallel,success,31
240,parallel,success,46
241,parallel,collision,95
242,parallel,collision,12
243,parallel,success,56
244,parallel,success,27
245,parallel,success,35
