idx,scenario,outcome,num_steps
0,circular,success,27
1,circular,collision,4
2,circular,success,26
3,circular,collision,9
4,circular,success,47
5,circular,collision,29
6,circular,success,34
7,circular,collision,25
8,circular,collision,34
9,circular,success,37
10,circular,collision,9
11,circular,success,32
12,circular,success,20
13,circular,collision,11
14,circular,collision,6
15,circular,collision,11
16,circular,collision,5
17,circular,collision,10
18,circular,collision,8
19,circular,collision,5
20,circular,success,22
21,circular,success,23
22,circular,collision,40
23,circular,success,13
24,circular,collision,5
25,circular,collision,8
26,circular,collision,10
27,circular,success,22
28,circular,success,23
29,circular,collision,5
30,circular,success,22
31,circular,collision,3
32,circular,collision,9
33,circular,success,19
34,circular,success,32
35,circular,success,20
36,circular,success,29
37,circular,collision,22
38,circular,success,24
39,circular,collision,2
40,circular,success,20
41,circular,collision,21
42,circular,collision,7
43,circular,collision,4
44,circular,collision,22
45,circular,success,25
46,circular,success,33
47,circular,collision,11
48,circular,success,29
49,circular,collision,6
50,circular,success,25
51,circular,collision,7
52,circular,collision,4
53,circular,success,23
54,circular,collision,6
55,circular,collision,28
56,circular,collision,9
57,circular,collision,3
58,circular,success,55
59,circular,success,31
60,circular,collision,8
61,circular,success,25
62,circular,success,22
63,circular,success,19
64,circular,success,20
65,circular,collision,9
66,circular,success,28
67,circular,collision,8
68,circular,success,17
69,circular,collision,5
70,circular,collision,9
71,circular,success,27
72,circular,collision,7
73,circular,collision,4
74,circular,collision,9
75,circular,success,52
76,circular,success,26
77,circular,success,16
78,circular,success,29
79,circular,collision,9
80,circular,collision,11
81,circular,success,16
82,circular,collision,5
83,circular,collision,9
84,circular,success,54
85,circular,collision,29
86,circular,success,8
87,circular,success,24
88,circular,success,19
89,circular,success,24
90,circular,collision,10
91,circular,success,24
92,circular,collision,18
93,circular,collision,10
94,circular,collision,6
95,circular,success,25
96,circular,success,58
97,circular,collision,20
98,circular,success,27
99,circular,collision,9
100,random,success,31
101,random,collision,1
102,random,collision,13
103,random,success,87
104,random,success,104
105,random,success,32
106,random,collision,25
107,random,collision,42
108,random,collision,15
109,random,collision,13
110,random,collision,8
111,random,collision,18
112,random,collision,16
113,random,success,49
114,random,success,27
115,random,collision,17
116,random,collision,34
117,random,collision,13
118,random,success,24
119,random,collision,3
120,random,success,43
121,random,collision,21
122,random,collision,46
123,random,collision,7
124,random,success,24
125,random,collision,4
126,random,collision,28
127,random,success,26
128,random,collision,2
129,random,collision,15
130,random,collision,25
131,random,success,37
132,random,success,38
133,random,success,24
134,random,collision,40
135,random,collision,39
