idx,scenario,outcome,num_steps
0,circular,collision,26
1,circular,collision,3
2,circular,collision,3
3,circular,success,54
4,circular,collision,40
5,circular,collision,4
6,circular,success,43
7,circular,success,54
8,circular,success,58
9,circular,collision,29
10,circular,collision,7
11,circular,collision,19
12,circular,collision,72
13,circular,collision,10
14,circular,collision,7
15,circular,collision,5
16,circular,collision,46
17,circular,collision,7
18,circular,collision,9
19,circular,collision,5
20,circular,collision,7
21,circular,success,26
22,circular,collision,22
23,circular,success,22
24,circular,collision,6
25,circular,collision,33
26,circular,collision,7
27,circular,collision,7
28,circular,success,26
29,circular,success,49
30,circular,success,31
31,circular,collision,2
32,circular,collision,34
33,circular,success,17
34,circular,collision,21
35,circular,collision,9
36,circular,success,33
37,circular,collision,8
38,circular,collision,6
39,circular,collision,3
40,circular,success,29
41,circular,collision,8
42,circular,collision,7
43,circular,collision,5
44,circular,collision,38
45,circular,collision,25
46,circular,collision,8
47,circular,collision,9
48,circular,success,48
49,circular,collision,5
50,circular,collision,10
51,circular,success,34
52,circular,collision,5
53,circular,success,38
54,circular,success,34
55,circular,success,65
56,circular,collision,10
57,circular,collision,3
58,circular,collision,4
59,circular,success,38
60,circular,success,28
61,circular,collision,7
62,circular,collision,6
63,circular,success,24
64,circular,collision,9
65,circular,collision,10
66,circular,collision,7
67,circular,collision,8
68,circular,success,23
69,circular,collision,3
70,circular,collision,8
71,circular,collision,10
72,circular,collision,5
73,circular,collision,4
74,circular,collision,8
75,circular,success,89
76,circular,collision,10
77,circular,success,33
78,circular,success,36
79,circular,collision,9
80,circular,collision,13
81,circular,success,19
82,circular,success,33
83,circular,collision,8
84,circular,collision,11
85,circular,collision,5
86,circular,success,14
87,circular,collision,10
88,circular,collision,12
89,circular,collision,10
90,circular,collision,11
91,circular,collision,8
92,circular,collision,6
93,circular,collision,9
94,circular,collision,5
95,circular,success,30
96,circular,success,50
97,circular,collision,3
98,circular,collision,10
99,circular,collision,10
100,random,success,45
101,random,collision,1
102,random,collision,11
103,random,collision,9
104,random,collision,54
105,random,collision,30
106,random,collision,44
107,random,collision,10
108,random,collision,18
109,random,collision,23
110,random,collision,6
111,random,collision,6
112,random,collision,14
113,random,collision,46
114,random,success,36
115,random,collision,5
116,random,success,52
117,random,collision,9
118,random,success,45
119,random,collision,3
120,random,success,58
121,random,collision,53
122,random,collision,39
123,random,collision,41
124,random,collision,22
125,random,collision,4
126,random,collision,17
127,random,success,35
128,random,collision,2
129,random,collision,12
130,random,collision,31
131,random,collision,25
132,random,success,44
133,random,success,30
134,random,collision,41
135,random,success,46
136,random,collision,36
137,random,success,64
138,random,collision,44
139,random,collision,39
140,random,collision,25
141,random,collision,44
142,random,success,81
143,random,success,53
144,random,success,46
145,random,success,52
146,random,collision,19
147,random,collision,35
148,random,success,82
149,random,success,26
150,random,collision,12
151,random,collision,29
152,random,collision,14
153,random,collision,12
154,random,collision,17
155,random,collision,14
156,random,collision,4
157,random,collision,59
158,random,success,52
159,random,collision,119
160,random,success,70
161,random,collision,28
162,random,collision,3
163,random,success,80
164,random,collision,16
165,random,collision,16
166,random,collision,7
167,random,collision,23
168,random,collision,9
169,random,collision,15
170,random,collision,48
171,random,collision,31
172,random,collision,46
173,random,collision,8
174,random,collision,21
175,random,collision,2
176,random,collision,40
177,random,collision,1
178,random,success,81
179,random,collision,14
180,random,collision,29
181,random,collision,4
182,random,success,27
183,random,collision,28
184,random,collision,4
185,random,collision,39
186,random,collision,31
187,random,collision,19
188,random,collision,60
189,random,collision,2
190,random,success,38
191,random,success,56
192,random,collision,25
193,random,collision,7
194,random,collision,7
195,random,success,48
196,random,collision,11
197,random,success,50
198,random,collision,27
199,random,collision,30
200,parallel,collision,61
201,parallel,success,27
202,parallel,collision,5
203,parallel,collision,8
204,parallel,collision,9
205,parallel,collision,11
206,parallel,collision,23
207,parallel,collision,5
208,parallel,success,47
209,parallel,collision,26
210,parallel,collision,44
211,parallel,success,44
212,parallel,collision,32
213,parallel,success,70
214,parallel,collision,37
215,parallel,collision,29
216,parallel,collision,35
217,parallel,collision,8
218,parallel,collision,30
219,parallel,success,48
220,parallel,success,34
221,parallel,collision,12
222,parallel,collision,29
223,parallel,collision,34
224,parallel,success,60
225,parallel,collision,26
226,parallel,collision,8
227,parallel,collision,22
228,parallel,success,42
229,parallel,success,28
230,parallel,collision,20
231,parallel,collision,28
232,parallel,success,40
233,parallel,collision,8
234,parallel,success,28
235,parallel,collision,30
236,parallel,collision,29
237,parallel,collision,28
238,parallel,success,29
239,parallel,collision,10
240,parallel,collision,6
241,parallel,collision,42
242,parallel,collision,7
243,parallel,collision,36
244,parallel,success,25
245,parallel,collision,5
246,parallel,collision,28
247,parallel,collision,47
248,parallel,collision,29
249,parallel,success,49
250,parallel,collision,17
251,parallel,success,31
252,parallel,collision,8
253,parallel,collision,28
254,parallel,collision,19
255,parallel,collision,38
256,parallel,collision,23
257,parallel,collision,26
258,parallel,success,62
259,parallel,collision,24
260,parallel,collision,45
261,parallel,collision,51
262,parallel,collision,9
263,parallel,success,63
264,parallel,success,91
265,parallel,collision,22
266,parallel,success,67
267,parallel,collision,6
268,parallel,collision,10
269,parallel,collision,9
270,parallel,success,88
271,parallel,collision,9
272,parallel,collision,21
273,parallel,collision,8
274,parallel,collision,8
275,parallel,collision,7
276,parallel,collision,43
277,parallel,success,41
278,parallel,success,71
279,parallel,collision,35
280,parallel,collision,50
281,parallel,success,38
282,parallel,success,30
283,parallel,success,40
284,parallel,collision,22
285,parallel,collision,25
286,parallel,success,26
287,parallel,collision,35
288,parallel,collision,10
289,parallel,collision,6
290,parallel,collision,7
291,parallel,collision,31
292,parallel,collision,8
293,parallel,collision,7
294,parallel,collision,24
295,parallel,collision,27
296,parallel,collision,21
297,parallel,collision,21
298,parallel,success,78
299,parallel,collision,8
