idx,scenario,outcome,num_steps
0,circular,collision,30
1,circular,success,30
2,circular,collision,22
3,circular,collision,9
4,circular,collision,20
5,circular,collision,27
6,circular,success,42
7,circular,collision,20
8,circular,success,66
9,circular,success,48
10,circular,collision,7
11,circular,collision,27
12,circular,success,22
13,circular,collision,8
14,circular,collision,5
15,circular,collision,5
16,circular,collision,4
17,circular,collision,8
18,circular,success,49
19,circular,collision,5
20,circular,success,25
21,circular,success,35
22,circular,collision,30
23,circular,success,14
24,circular,collision,5
25,circular,collision,34
26,circular,collision,47
27,circular,success,36
28,circular,collision,24
29,circular,collision,6
30,circular,success,25
31,circular,collision,3
32,circular,collision,7
33,circular,success,23
34,circular,success,67
35,circular,success,22
36,circular,success,32
37,circular,success,36
38,circular,success,33
39,circular,collision,2
40,circular,success,23
41,circular,success,67
42,circular,collision,7
43,circular,success,44
44,circular,collision,20
45,circular,collision,7
46,circular,success,54
47,circular,collision,13
48,circular,success,40
49,circular,success,44
50,circular,success,33
51,circular,success,33
52,circular,collision,4
53,circular,success,32
54,circular,success,35
55,circular,success,45
56,circular,collision,12
57,circular,collision,20
58,circular,success,44
59,circular,success,48
60,circular,collision,26
61,circular,success,97
62,circular,success,31
63,circular,success,25
64,circular,success,45
65,circular,collision,25
66,circular,collision,25
67,circular,collision,9
68,circular,success,34
69,circular,collision,3
70,circular,collision,8
71,circular,collision,10
72,circular,success,43
73,circular,collision,5
74,circular,collision,29
75,circular,collision,18
76,circular,success,53
77,circular,success,35
78,circular,success,67
79,circular,collision,7
80,circular,collision,10
81,circular,success,25
82,circular,success,37
83,circular,collision,9
84,circular,collision,26
85,circular,collision,20
86,circular,success,8
87,circular,collision,9
88,circular,collision,7
89,circular,collision,8
90,circular,collision,8
91,circular,collision,7
92,circular,collision,7
93,circular,collision,26
94,circular,collision,6
95,circular,success,35
96,circular,success,52
97,circular,collision,17
98,circular,success,53
99,circular,collision,8
100,random,success,83
101,random,collision,1
102,random,collision,18
103,random,success,48
104,random,collision,73
105,random,success,39
106,random,collision,49
107,random,success,39
108,random,collision,15
109,random,collision,31
110,random,collision,4
111,random,collision,22
112,random,collision,14
113,random,collision,37
114,random,success,37
115,random,collision,6
116,random,collision,35
117,random,collision,18
118,random,success,44
119,random,collision,3
120,random,success,57
121,random,collision,9
122,random,collision,22
123,random,collision,40
124,random,success,32
125,random,collision,4
126,random,collision,34
127,random,success,33
128,random,collision,2
129,random,collision,13
130,random,collision,27
131,random,collision,19
132,random,success,52
133,random,success,40
134,random,collision,41
135,random,success,43
136,random,collision,36
137,random,success,53
138,random,collision,31
139,random,collision,77
140,random,collision,27
141,random,collision,21
142,random,collision,13
143,random,success,49
144,random,collision,22
145,random,collision,25
146,random,collision,19
147,random,success,69
148,random,success,64
149,random,success,32
150,random,success,53
151,random,collision,3
152,random,collision,16
153,random,collision,23
154,random,success,40
155,random,collision,13
156,random,collision,19
157,random,collision,49
158,random,collision,19
159,random,success,47
160,random,collision,29
161,random,collision,50
162,random,collision,3
163,random,success,51
164,random,collision,15
165,random,collision,32
166,random,success,50
167,random,collision,24
168,random,collision,17
169,random,collision,26
170,random,success,50
171,random,collision,36
172,random,collision,14
173,random,collision,27
174,random,success,85
175,random,success,77
176,random,collision,33
177,random,collision,1
178,random,success,52
179,random,collision,15
180,random,collision,17
181,random,collision,4
182,random,success,27
183,random,collision,30
184,random,success,54
185,random,collision,43
186,random,collision,31
187,random,success,59
188,random,success,72
189,random,collision,2
190,random,success,48
191,random,success,47
192,random,collision,16
193,random,collision,27
194,random,collision,35
195,random,collision,21
196,random,collision,16
197,random,success,50
198,random,collision,22
199,random,collision,60
200,parallel,collision,16
201,parallel,success,28
202,parallel,collision,6
203,parallel,success,44
204,parallel,collision,26
205,parallel,collision,9
206,parallel,collision,31
207,parallel,collision,6
208,parallel,collision,27
209,parallel,collision,27
210,parallel,collision,20
211,parallel,collision,13
212,parallel,collision,28
213,parallel,success,50
214,parallel,collision,18
215,parallel,success,35
216,parallel,success,66
217,parallel,collision,7
218,parallel,collision,23
219,parallel,collision,49
220,parallel,collision,33
221,parallel,success,36
222,parallel,success,37
223,parallel,success,64
224,parallel,success,44
225,parallel,success,26
226,parallel,collision,22
227,parallel,collision,9
228,parallel,collision,32
229,parallel,collision,9
230,parallel,collision,8
231,parallel,collision,40
232,parallel,success,48
233,parallel,success,30
234,parallel,collision,28
235,parallel,success,85
236,parallel,success,37
237,parallel,collision,33
238,parallel,collision,51
239,parallel,success,35
240,parallel,collision,9
241,parallel,collision,12
242,parallel,collision,8
243,parallel,collision,31
244,parallel,collision,30
245,parallel,success,45
246,parallel,success,44
247,parallel,collision,64
248,parallel,collision,11
249,parallel,success,37
250,parallel,success,38
251,parallel,collision,10
252,parallel,collision,28
253,parallel,success,65
254,parallel,collision,28
255,parallel,collision,24
256,parallel,collision,43
257,parallel,collision,31
258,parallel,success,44
259,parallel,collision,55
260,parallel,success,57
261,parallel,collision,46
262,parallel,collision,9
263,parallel,collision,13
264,parallel,success,59
265,parallel,success,92
266,parallel,collision,28
267,parallel,collision,5
268,parallel,success,48
269,parallel,success,41
270,parallel,collision,29
271,parallel,collision,12
272,parallel,success,59
273,parallel,collision,142
274,parallel,success,45
275,parallel,collision,12
276,parallel,collision,37
277,parallel,success,44
278,parallel,collision,7
279,parallel,collision,42
280,parallel,success,47
281,parallel,success,34
282,parallel,success,97
283,parallel,collision,26
284,parallel,collision,12
285,parallel,success,35
286,parallel,success,28
287,parallel,collision,29
288,parallel,collision,8
289,parallel,collision,6
290,parallel,success,44
291,parallel,collision,35
292,parallel,success,52
293,parallel,collision,27
294,parallel,success,68
295,parallel,collision,33
296,parallel,collision,9
297,parallel,collision,24
298,parallel,success,27
299,parallel,collision,7
