idx,scenario,outcome,num_steps
0,circular,success,38
1,circular,success,29
2,circular,collision,2
3,circular,collision,10
4,circular,collision,44
5,circular,collision,27
6,circular,success,33
7,circular,collision,34
8,circular,success,45
9,circular,success,49
10,circular,collision,7
11,circular,success,51
12,circular,success,22
13,circular,collision,9
14,circular,collision,6
15,circular,collision,5
16,circular,collision,34
17,circular,collision,12
18,circular,collision,8
19,circular,collision,5
20,circular,collision,8
21,circular,collision,7
22,circular,collision,33
23,circular,success,26
24,circular,collision,5
25,circular,success,94
26,circular,collision,5
27,circular,success,23
28,circular,collision,28
29,circular,collision,6
30,circular,success,32
31,circular,collision,3
32,circular,collision,11
33,circular,success,20
34,circular,success,40
35,circular,success,26
36,circular,success,30
37,circular,collision,24
38,circular,success,25
39,circular,collision,3
40,circular,success,27
41,circular,collision,16
42,circular,collision,7
43,circular,success,39
44,circular,collision,21
45,circular,collision,25
46,circular,success,54
47,circular,collision,9
48,circular,collision,23
49,circular,collision,6
50,circular,success,45
51,circular,collision,8
52,circular,collision,4
53,circular,collision,9
54,circular,success,35
55,circular,success,44
56,circular,collision,13
57,circular,collision,4
58,circular,collision,5
59,circular,success,35
60,circular,success,29
61,circular,success,29
62,circular,success,28
63,circular,success,20
64,circular,collision,7
65,circular,collision,24
66,circular,success,28
67,circular,success,36
68,circular,success,26
69,circular,collision,3
70,circular,collision,9
71,circular,success,25
72,circular,collision,29
73,circular,collision,5
74,circular,collision,34
75,circular,collision,37
76,circular,collision,11
77,circular,success,18
78,circular,success,32
79,circular,collision,11
80,circular,collision,8
81,circular,success,20
82,circular,success,36
83,circular,collision,8
84,circular,collision,10
85,circular,collision,5
86,circular,success,9
87,circular,success,26
88,circular,collision,10
89,circular,collision,9
90,circular,collision,6
91,circular,collision,8
92,circular,success,70
93,circular,collision,9
94,circular,collision,7
95,circular,success,28
96,circular,collision,32
97,circular,collision,3
98,circular,collision,9
99,circular,collision,8
100,random,success,81
101,random,collision,1
102,random,collision,58
103,random,collision,29
104,random,collision,30
