idx,scenario,outcome,num_steps
0,circular,collision,13
1,circular,collision,48
2,circular,collision,2
3,circular,collision,9
4,circular,collision,18
5,circular,collision,5
6,circular,collision,35
7,circular,collision,78
8,circular,timeout,250
9,circular,collision,28
10,circular,collision,7
11,circular,success,38
12,circular,collision,31
13,circular,collision,10
14,circular,collision,5
15,circular,collision,99
16,circular,timeout,250
17,circular,collision,6
18,circular,collision,13
19,circular,collision,5
20,circular,success,24
21,circular,collision,9
22,circular,collision,26
23,circular,success,15
24,circular,collision,6
25,circular,collision,26
26,circular,collision,9
27,circular,success,19
28,circular,collision,11
29,circular,success,20
30,circular,success,24
31,circular,collision,3
32,circular,collision,6
33,circular,success,17
34,circular,timeout,250
35,circular,collision,8
36,circular,collision,20
37,circular,collision,9
38,circular,collision,172
39,circular,collision,3
40,circular,success,22
41,circular,success,58
42,circular,collision,10
43,circular,collision,6
44,circular,collision,19
45,circular,collision,70
46,circular,collision,7
47,circular,collision,6
48,circular,collision,45
49,circular,collision,5
50,circular,collision,10
51,circular,collision,6
52,circular,success,25
53,circular,collision,9
54,circular,collision,6
55,circular,collision,93
56,circular,collision,11
57,circular,collision,6
58,circular,collision,4
59,circular,success,36
60,circular,success,28
61,circular,collision,7
62,circular,collision,9
63,circular,success,21
64,circular,collision,8
65,circular,success,35
66,circular,collision,8
67,circular,collision,9
68,circular,success,20
69,circular,collision,4
70,circular,collision,11
71,circular,collision,10
72,circular,collision,7
73,circular,collision,3
74,circular,collision,11
75,circular,collision,6
76,circular,collision,9
77,circular,success,20
78,circular,success,29
79,circular,collision,9
80,circular,collision,15
81,circular,success,17
82,circular,success,24
83,circular,collision,9
84,circular,collision,9
85,circular,collision,6
86,circular,success,14
87,circular,success,27
88,circular,collision,8
89,circular,collision,9
90,circular,collision,7
91,circular,collision,9
92,circular,collision,10
93,circular,collision,11
94,circular,collision,6
95,circular,success,30
96,circular,collision,31
97,circular,collision,3
98,circular,collision,9
99,circular,collision,9
100,random,success,73
101,random,collision,1
102,random,collision,23
103,random,collision,33
104,random,timeout,250
105,random,success,61
106,random,timeout,250
107,random,success,51
108,random,timeout,250
109,random,timeout,250
110,random,collision,4
111,random,collision,14
112,random,collision,16
113,random,timeout,250
114,random,timeout,250
115,random,collision,4
116,random,timeout,250
117,random,collision,19
118,random,success,27
119,random,collision,4
120,random,timeout,250
121,random,collision,31
122,random,timeout,250
123,random,collision,9
124,random,success,29
125,random,collision,4
126,random,collision,16
127,random,success,31
128,random,collision,2
129,random,collision,13
130,random,collision,30
131,random,collision,24
132,random,collision,41
133,random,success,28
134,random,collision,42
135,random,collision,20
136,random,collision,18
137,random,timeout,250
138,random,timeout,250
139,random,collision,21
140,random,success,26
141,random,timeout,250
142,random,collision,82
143,random,timeout,250
144,random,collision,17
145,random,timeout,250
146,random,timeout,250
147,random,timeout,250
148,random,timeout,250
149,random,success,26
150,random,collision,127
151,random,collision,8
152,random,collision,30
153,random,collision,8
154,random,timeout,250
155,random,collision,24
156,random,collision,6
157,random,timeout,250
158,random,collision,29
159,random,timeout,250
160,random,timeout,250
161,random,timeout,250
162,random,collision,3
163,random,collision,11
164,random,collision,28
165,random,collision,21
166,random,collision,7
167,random,success,31
168,random,collision,17
169,random,collision,22
170,random,timeout,250
171,random,timeout,250
172,random,timeout,250
173,random,success,56
174,random,collision,32
175,random,collision,2
176,random,timeout,250
177,random,collision,1
178,random,timeout,250
179,random,collision,29
180,random,collision,41
181,random,success,46
182,random,collision,4
183,random,timeout,250
184,random,collision,20
185,random,collision,3
186,random,collision,28
187,random,collision,39
188,random,timeout,250
189,random,collision,3
190,random,success,47
191,random,success,62
192,random,timeout,250
193,random,collision,8
194,random,timeout,250
195,random,success,50
196,random,collision,18
197,random,timeout,250
198,random,timeout,250
199,random,collision,33
200,parallel,collision,34
201,parallel,success,23
202,parallel,collision,8
203,parallel,collision,11
204,parallel,success,38
205,parallel,success,46
206,parallel,collision,136
