idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,collision,5
2,circular,success,30
3,circular,collision,10
4,circular,collision,39
5,circular,collision,23
6,circular,collision,27
7,circular,success,47
8,circular,success,44
9,circular,success,50
10,circular,collision,11
11,circular,success,34
12,circular,success,47
13,circular,collision,8
14,circular,collision,8
15,circular,success,44
16,circular,collision,27
17,circular,collision,6
18,circular,success,44
19,circular,collision,6
20,circular,success,39
21,circular,success,28
22,circular,success,59
23,circular,success,16
24,circular,collision,7
25,circular,collision,26
26,circular,collision,42
27,circular,success,23
28,circular,collision,7
29,circular,collision,6
30,circular,collision,8
31,circular,collision,2
32,circular,collision,7
33,circular,collision,6
34,circular,success,36
35,circular,collision,8
36,circular,collision,19
37,circular,collision,8
38,circular,success,25
39,circular,collision,3
40,circular,success,30
41,circular,collision,25
42,circular,collision,7
43,circular,collision,5
44,circular,success,42
45,circular,success,42
46,circular,success,37
47,circular,collision,20
48,circular,success,43
49,circular,collision,5
50,circular,collision,7
51,circular,success,40
52,circular,success,22
53,circular,success,24
54,circular,success,38
55,circular,success,41
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,success,41
60,circular,success,25
61,circular,collision,9
62,circular,collision,8
63,circular,collision,7
64,circular,collision,8
65,circular,success,32
66,circular,collision,8
67,circular,collision,10
68,circular,success,19
69,circular,collision,3
70,circular,collision,12
71,circular,collision,13
72,circular,success,45
73,circular,collision,3
74,circular,collision,8
75,circular,collision,31
76,circular,collision,11
77,circular,success,33
78,circular,success,32
79,circular,collision,9
80,circular,collision,15
81,circular,success,25
82,circular,success,37
83,circular,collision,11
84,circular,collision,10
85,circular,collision,6
86,circular,success,16
87,circular,collision,12
88,circular,collision,8
89,circular,collision,9
90,circular,collision,6
91,circular,success,29
92,circular,collision,31
93,circular,collision,12
94,circular,collision,7
95,circular,success,35
96,circular,collision,36
97,circular,collision,18
98,circular,collision,8
99,circular,collision,10
100,random,success,38
101,random,collision,1
102,random,collision,28
103,random,collision,10
104,random,success,71
105,random,success,72
106,random,collision,37
107,random,collision,12
108,random,collision,19
109,random,collision,34
110,random,collision,34
111,random,collision,16
112,random,collision,11
113,random,success,61
114,random,success,36
115,random,collision,6
116,random,collision,28
117,random,collision,18
118,random,success,33
119,random,collision,3
120,random,collision,37
121,random,collision,20
122,random,collision,41
123,random,success,68
124,random,success,26
125,random,collision,5
126,random,collision,13
127,random,success,35
128,random,collision,2
129,random,collision,14
130,random,collision,41
131,random,collision,35
132,random,success,48
133,random,success,29
134,random,collision,19
135,random,collision,18
136,random,collision,20
137,random,success,75
138,random,collision,34
139,random,success,35
140,random,success,21
141,random,collision,29
142,random,collision,24
143,random,success,62
144,random,success,55
145,random,collision,43
146,random,collision,23
147,random,collision,39
148,random,success,57
149,random,success,27
150,random,collision,31
