idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,collision,19
2,circular,collision,3
3,circular,collision,13
4,circular,collision,20
5,circular,collision,5
6,circular,success,37
7,circular,success,51
8,circular,success,44
9,circular,collision,32
10,circular,collision,8
11,circular,success,37
12,circular,success,30
13,circular,collision,10
14,circular,collision,6
15,circular,collision,32
16,circular,collision,45
17,circular,collision,28
18,circular,collision,13
19,circular,collision,6
20,circular,collision,27
21,circular,collision,7
22,circular,collision,32
23,circular,success,20
24,circular,collision,8
25,circular,collision,32
26,circular,collision,10
27,circular,success,20
28,circular,collision,8
29,circular,collision,7
30,circular,collision,8
31,circular,collision,3
32,circular,collision,7
33,circular,success,18
34,circular,success,38
35,circular,collision,10
36,circular,success,35
37,circular,collision,8
38,circular,collision,5
39,circular,collision,3
40,circular,success,26
41,circular,success,54
42,circular,collision,7
43,circular,collision,6
44,circular,collision,28
45,circular,success,47
46,circular,collision,8
47,circular,collision,12
48,circular,collision,7
49,circular,collision,5
50,circular,collision,7
51,circular,collision,5
52,circular,success,24
53,circular,success,26
54,circular,success,36
55,circular,success,40
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,collision,22
60,circular,success,27
61,circular,collision,10
62,circular,success,26
63,circular,success,20
64,circular,collision,7
65,circular,success,35
66,circular,collision,8
67,circular,collision,11
68,circular,success,25
69,circular,collision,3
70,circular,collision,9
71,circular,collision,9
72,circular,collision,6
73,circular,collision,4
74,circular,collision,9
75,circular,collision,43
76,circular,collision,10
77,circular,success,21
78,circular,success,30
79,circular,collision,10
80,circular,collision,25
81,circular,success,20
82,circular,collision,5
83,circular,collision,11
84,circular,collision,39
85,circular,collision,9
86,circular,success,12
87,circular,collision,10
88,circular,collision,9
89,circular,collision,10
90,circular,collision,7
91,circular,collision,8
92,circular,collision,5
93,circular,collision,12
94,circular,collision,6
95,circular,success,30
96,circular,collision,26
97,circular,collision,5
98,circular,collision,9
99,circular,collision,9
100,random,success,41
101,random,collision,1
102,random,collision,30
103,random,collision,10
104,random,success,77
105,random,success,38
106,random,collision,33
107,random,collision,16
108,random,collision,21
109,random,collision,27
110,random,collision,40
111,random,collision,5
112,random,collision,38
113,random,collision,48
114,random,success,36
115,random,collision,4
116,random,collision,35
117,random,collision,14
118,random,success,33
119,random,collision,3
120,random,collision,37
121,random,collision,19
122,random,collision,43
123,random,collision,28
124,random,success,28
125,random,collision,4
126,random,collision,34
127,random,success,30
128,random,collision,3
129,random,collision,13
130,random,collision,35
131,random,collision,41
132,random,success,52
133,random,success,30
134,random,collision,20
135,random,collision,21
136,random,success,51
137,random,success,60
138,random,collision,31
139,random,success,37
140,random,success,24
141,random,success,70
142,random,success,84
143,random,success,40
144,random,success,52
145,random,success,47
146,random,collision,21
147,random,collision,35
148,random,collision,37
149,random,success,24
150,random,collision,18
151,random,collision,3
152,random,success,40
153,random,collision,12
154,random,success,48
155,random,collision,16
156,random,collision,7
157,random,collision,42
158,random,collision,20
159,random,success,41
160,random,collision,33
161,random,collision,47
162,random,collision,3
163,random,collision,55
164,random,collision,18
165,random,collision,18
166,random,collision,7
167,random,collision,20
168,random,collision,16
169,random,collision,20
170,random,collision,40
171,random,success,65
172,random,collision,41
173,random,collision,16
174,random,collision,38
175,random,collision,2
176,random,collision,40
177,random,collision,1
178,random,success,51
179,random,collision,18
180,random,collision,16
181,random,collision,35
182,random,success,23
183,random,collision,21
184,random,collision,5
185,random,collision,3
186,random,success,66
187,random,collision,36
188,random,success,69
189,random,collision,2
190,random,success,47
191,random,success,46
192,random,collision,30
193,random,collision,8
194,random,success,55
195,random,collision,19
196,random,collision,11
197,random,success,45
198,random,collision,30
199,random,success,66
200,parallel,collision,13
201,parallel,collision,9
202,parallel,collision,9
203,parallel,collision,9
204,parallel,success,39
205,parallel,collision,23
206,parallel,collision,26
207,parallel,collision,6
208,parallel,collision,6
209,parallel,collision,29
