idx,scenario,outcome,num_steps
0,circular,success,75
1,circular,collision,4
2,circular,collision,3
3,circular,collision,13
4,circular,collision,46
5,circular,collision,5
6,circular,collision,30
7,circular,success,49
8,circular,success,52
9,circular,collision,32
10,circular,collision,7
11,circular,collision,20
12,circular,success,39
13,circular,collision,10
14,circular,collision,5
15,circular,collision,4
16,circular,collision,23
17,circular,collision,10
18,circular,collision,32
19,circular,collision,6
20,circular,collision,7
21,circular,collision,7
22,circular,collision,35
23,circular,success,23
24,circular,collision,5
25,circular,collision,79
26,circular,collision,6
27,circular,collision,6
28,circular,collision,7
29,circular,success,45
30,circular,collision,8
31,circular,collision,2
32,circular,collision,8
33,circular,success,26
34,circular,success,45
35,circular,collision,8
36,circular,success,46
37,circular,collision,6
38,circular,collision,5
39,circular,collision,3
40,circular,success,26
41,circular,collision,26
42,circular,collision,8
43,circular,success,51
44,circular,collision,17
45,circular,collision,28
46,circular,success,43
47,circular,collision,12
48,circular,success,31
49,circular,collision,7
50,circular,collision,7
51,circular,collision,5
52,circular,success,25
53,circular,success,27
54,circular,collision,28
55,circular,success,44
56,circular,collision,10
57,circular,success,46
58,circular,collision,4
59,circular,success,44
60,circular,success,30
61,circular,collision,8
62,circular,collision,7
63,circular,collision,7
64,circular,collision,7
65,circular,collision,7
66,circular,collision,7
67,circular,collision,8
68,circular,success,20
69,circular,collision,3
70,circular,collision,8
71,circular,collision,10
72,circular,collision,6
73,circular,collision,30
74,circular,collision,9
75,circular,success,59
76,circular,collision,9
77,circular,success,35
78,circular,success,44
79,circular,collision,10
80,circular,collision,10
81,circular,success,19
82,circular,success,48
83,circular,collision,9
84,circular,collision,11
85,circular,collision,5
86,circular,success,23
87,circular,collision,12
88,circular,collision,11
89,circular,collision,9
90,circular,collision,7
91,circular,collision,32
92,circular,collision,8
93,circular,collision,11
94,circular,collision,5
95,circular,success,34
96,circular,success,56
97,circular,collision,28
98,circular,collision,8
99,circular,collision,8
100,random,success,50
101,random,collision,1
102,random,collision,14
103,random,collision,27
104,random,success,85
105,random,success,54
106,random,collision,34
107,random,collision,34
108,random,success,50
109,random,success,84
110,random,collision,5
111,random,success,53
112,random,collision,11
113,random,success,62
114,random,success,36
115,random,collision,4
116,random,collision,34
117,random,collision,10
118,random,success,37
119,random,collision,3
120,random,collision,38
121,random,collision,34
122,random,collision,40
123,random,collision,45
124,random,collision,21
125,random,collision,3
126,random,collision,12
127,random,success,34
128,random,collision,2
129,random,collision,15
130,random,collision,75
131,random,collision,20
132,random,success,53
133,random,success,32
134,random,collision,43
135,random,success,73
136,random,collision,18
137,random,success,80
138,random,success,117
139,random,collision,38
140,random,success,40
141,random,success,71
142,random,success,81
143,random,success,43
144,random,success,51
145,random,collision,26
146,random,collision,28
147,random,collision,35
148,random,collision,56
149,random,success,29
150,random,collision,12
151,random,collision,6
152,random,collision,5
153,random,collision,13
154,random,collision,17
155,random,success,35
156,random,collision,4
157,random,collision,47
158,random,collision,19
159,random,collision,90
160,random,success,77
161,random,collision,26
162,random,collision,3
163,random,collision,43
164,random,collision,17
165,random,collision,12
166,random,collision,6
167,random,collision,25
168,random,collision,9
169,random,collision,15
170,random,collision,25
171,random,collision,44
172,random,collision,46
173,random,collision,22
174,random,collision,21
175,random,collision,2
176,random,collision,41
177,random,collision,1
178,random,success,65
179,random,collision,16
180,random,collision,35
181,random,collision,4
182,random,success,23
183,random,collision,22
184,random,collision,10
185,random,collision,36
186,random,success,62
187,random,collision,20
188,random,collision,52
189,random,collision,2
190,random,collision,11
191,random,success,86
192,random,collision,22
193,random,collision,8
194,random,collision,42
195,random,success,44
196,random,collision,16
197,random,success,60
